Brian,Anderson,None,http://www.politifact.com/personalities/brian-anderson/,"
	Brian Anderson is a homeless advocate who testified before the Florida Legislature."
Shirley,Anderson,Republican,http://www.politifact.com/personalities/shirley-anderson/,"
	Shirley Anderson is a candidate for the Hernando County Supervisor of Elections in 2012."
Rob,Andrews,Democrat,http://www.politifact.com/personalities/rob-andrews/,"
	Rob Andrews is a Democratic congressman representing New Jersey's 1st district, which includes parts of Camden, Gloucester and Burlington counties."
Joseph,Andriole,Labor,http://www.politifact.com/personalities/joseph-andriole/,"
	Joseph Andriole worked as a firefighter in Central Falls for 22 years. After retiring in 2009, he began working full-time as vice president of the Rhode Island State Association of Firefighters. He previously worked part-time as the association’s business agent."
Kathleen,Angelucci,Republican,http://www.politifact.com/personalities/kathleen-angelucci/,"
	Kathleen Angelucci, a Republican, is district 4 representative on the Cobb County school board."
Sharron,Angle,Republican,http://www.politifact.com/personalities/sharron-angle/,"
	Sharron Angle is a former member of the Nevada Assembly who unsuccessfully tried to unseat Harry Reid in 2010 as the Republican nominee for his U.S. Senate seat."
Ted,Ankrum,Democrat,http://www.politifact.com/personalities/ted-ankrum/,"
	Ted Ankrum is a retired Navy captain who ran for the U.S. House in 2010."
Kofi,Annan,Kofi,http://www.politifact.com/personalities/kofi-annan/,
Frank,Annunziato,Labor,http://www.politifact.com/personalities/frank-annunziato/,"Frank R. Annunziato is executive director of the University of Rhode Island chapter of the American Association of University Professors, a labor union and advocacy group."
Anonymous,Flier,This,http://www.politifact.com/personalities/anonymous-flier/,
Anonymous,GOP,Anonymous,http://www.politifact.com/personalities/gop-critics/,
Anonymous,cyber-squatter,None,http://www.politifact.com/personalities/anonymous-cyber-squatter/,This website pranked Republican Carly Fiorina around the time she announced her presidential bid in 2015.
Aziz,Ansari,Aziz,http://www.politifact.com/personalities/aziz-ansari/,
Susan,B.,The,http://www.politifact.com/personalities/susanbanthony-list/,
Anti-Defamation,League,The,http://www.politifact.com/personalities/anti-defamation-league/,
Nickie,Antonio,Democrat,http://www.politifact.com/personalities/nickie-antonio/,"
	Nickie J. Antonio is a state representative for the 13th Ohio House District. She was first elected to the statehouse in 2010. She represents residents from the city of Lakewood and parts of the West Side of Cleveland."
Julaine,Appling,None,http://www.politifact.com/personalities/julaine-appling/,"Julaine Appling is executive director of Wisconsin Family Action, a Madison, Wis., based 501(c)(4) organization formed in 2006, according to its website, ""in order to do statewide education, grassroots activities, election-related work as the law provides and advocacy in the state legislature on cultural and legislative issues that either threaten or strengthen Wisconsin's most valuable natural resource—her traditional families."" The group says its mission is to advance Judeo-Christian principles and values in Wisconsin by strengthening and preserving marriage, family, life and liberty."
Stephen,Archambault,Democrat,http://www.politifact.com/personalities/steve-archambault/,"
	Steve Archambault was a candidate for attorney general in 2010. A 2000 graduate of the Roger Williams School of Law, he is a former police officer in Jamestown, Lincoln town prosecutor, a lawyer, and a member of the Smithfield Town Council."
Natalyn,Archibong,None,http://www.politifact.com/personalities/natalyn-archibong/,Natalyn Mosby Archibong is the District 5 representative on the Atlanta City Council. She was first elected to office in 2001.
Diego,Arene-Morley,Activist,http://www.politifact.com/personalities/diego-arene-morley/,"Diego Arene-Morley, of Washington, D.C., is the president of Brown University Students for Sensible Drug Policy. He is a junior majoring in public policy."
Arizona,Citizens,The,http://www.politifact.com/personalities/Arizona-Citizens-Defense-League/,
Dick,Armey,Dick,http://www.politifact.com/personalities/dick-armey/,
